Name,Year,Oscars_ID,Won,imdb_rating,imdb_votes,box_office,metascore,rotten_tomatoes_rating
12 Angry Men,1957,30,No,9.0,"851,716",,97,100
Peyton Place,1957,30,No,7.2,"6,514",25600000,63,65
Sayonara,1957,30,No,7.0,"7,402",26300000,N/A,82
Witness for the Prosecution,1957,30,No,8.4,"135,630",,76,100
Gigi,1958,31,Yes,6.6,"24,158",,82,88
Auntie Mame,1958,31,No,7.9,"12,410",,N/A,88
Cat on a Hot Tin Roof,1958,31,No,7.9,"52,957",,84,97
The Defiant Ones,1958,31,No,7.6,"17,276",,69,91
Separate Tables,1958,31,No,7.4,"8,460",7400000,68,67
Ben-Hur,1959,32,Yes,8.1,"250,784",74432704,90,85
Anatomy of a Murder,1959,32,No,8.0,"70,337",11900000,95,100
The Diary of Anne Frank,1959,32,No,7.4,"13,478",,59,81
The Nun's Story,1959,32,No,7.5,"11,538",,78,84
Room at the Top,1958,32,No,7.5,"7,186",,84,100
The Apartment,1960,33,Yes,8.3,"193,502",18600000,94,94
The Alamo,1960,33,No,6.8,"17,264",,N/A,55
Elmer Gantry,1960,33,No,7.7,"12,597",,N/A,94
Sons and Lovers,1960,33,No,7.1,"1,727",,N/A,67
The Sundowners,1960,33,No,7.1,"4,726",,82,79
West Side Story,1961,34,Yes,7.6,"119,851",44055492,86,92
Fanny,1961,34,No,6.8,"2,603",9996178,N/A,
The Guns of Navarone,1961,34,No,7.5,"54,533",,72,92
The Hustler,1961,34,No,8.0,"86,004",,90,94
Judgment at Nuremberg,1961,34,No,8.3,"83,433",,60,92
Lawrence of Arabia,1962,35,Yes,8.3,"310,602",45306425,100,94
The Longest Day,1962,35,No,7.7,"58,504",,75,87
The Music Man,1962,35,No,7.7,"18,893",,76,94
Mutiny on the Bounty,1962,35,No,7.2,"17,585",,48,70
To Kill a Mockingbird,1962,35,No,8.3,"330,159",592237,88,93
Tom Jones,1963,36,Yes,6.4,"14,042",,77,81
America America,1963,36,No,7.7,"5,890",,72,67
Cleopatra,1963,36,No,7.0,"36,982",57777778,60,56
How the West Was Won,1962,36,No,7.0,"22,922",76729,56,87
Lilies of the Field,1963,36,No,7.5,"13,062",,61,92
My Fair Lady,1964,37,Yes,7.7,"100,493",72560711,95,95
Becket,1964,37,No,7.8,"15,632",149327,68,75
